time,wind_speed,wind_direction,stability_class,number,latitude,longitude,expver
2024-01-09 00:00:00,2.527031,323.43896,F,0,55.58,13.01,0001
2024-01-09 01:00:00,2.6058187,322.0069,F,0,55.58,13.01,0001
2024-01-09 02:00:00,2.6976001,321.11514,F,0,55.58,13.01,0001
2024-01-09 03:00:00,2.896066,321.0375,F,0,55.58,13.01,0001
2024-01-09 04:00:00,3.1735115,323.8803,D,0,55.58,13.01,0001
2024-01-09 05:00:00,3.3030527,329.27032,D,0,55.58,13.01,0001
2024-01-09 06:00:00,3.0303783,332.84747,D,0,55.58,13.01,0001
2024-01-09 07:00:00,2.7020564,327.00983,E,0,55.58,13.01,0001
2024-01-09 08:00:00,2.5337026,318.97314,C,0,55.58,13.01,0001
2024-01-09 09:00:00,2.6391184,310.35205,C,0,55.58,13.01,0001
2024-01-09 10:00:00,3.343927,307.54666,C,0,55.58,13.01,0001
2024-01-09 11:00:00,3.3723059,306.01358,C,0,55.58,13.01,0001
2024-01-09 12:00:00,3.4445994,309.51477,C,0,55.58,13.01,0001
2024-01-09 13:00:00,3.1880598,307.15924,C,0,55.58,13.01,0001
2024-01-09 14:00:00,2.8374834,308.14978,C,0,55.58,13.01,0001
2024-01-09 15:00:00,2.1747658,305.83826,E,0,55.58,13.01,0001
2024-01-09 16:00:00,2.074236,295.7274,E,0,55.58,13.01,0001
2024-01-09 17:00:00,1.9379823,291.859,F,0,55.58,13.01,0001
2024-01-09 18:00:00,1.7301999,292.83215,F,0,55.58,13.01,0001
2024-01-09 19:00:00,1.6472155,282.5351,F,0,55.58,13.01,0001
2024-01-09 20:00:00,1.9841189,270.8093,F,0,55.58,13.01,0001
2024-01-09 21:00:00,2.2540398,272.3318,E,0,55.58,13.01,0001
2024-01-09 22:00:00,2.7727547,270.66687,E,0,55.58,13.01,0001
2024-01-09 23:00:00,2.765741,271.3413,E,0,55.58,13.01,0001
2024-01-10 00:00:00,2.8416843,281.39655,E,0,55.58,13.01,0001
2024-01-10 01:00:00,2.6743498,293.0589,E,0,55.58,13.01,0001
2024-01-10 02:00:00,2.491363,299.6376,E,0,55.58,13.01,0001
2024-01-10 03:00:00,2.570512,306.14832,E,0,55.58,13.01,0001
2024-01-10 04:00:00,2.8590071,312.10007,E,0,55.58,13.01,0001
2024-01-10 05:00:00,2.9147534,315.07135,E,0,55.58,13.01,0001
2024-01-10 06:00:00,2.748851,311.85156,E,0,55.58,13.01,0001
2024-01-10 07:00:00,2.697119,308.7318,E,0,55.58,13.01,0001
2024-01-10 08:00:00,2.5185652,308.20612,C,0,55.58,13.01,0001
2024-01-10 09:00:00,2.6388776,307.685,C,0,55.58,13.01,0001
2024-01-10 10:00:00,3.399733,316.95233,C,0,55.58,13.01,0001
2024-01-10 11:00:00,3.3238056,309.58334,C,0,55.58,13.01,0001
2024-01-10 12:00:00,3.5087976,303.93396,C,0,55.58,13.01,0001
2024-01-10 13:00:00,3.8167844,305.65765,C,0,55.58,13.01,0001
2024-01-10 14:00:00,3.8782644,305.81866,C,0,55.58,13.01,0001
2024-01-10 15:00:00,3.691368,300.78055,D,0,55.58,13.01,0001
2024-01-10 16:00:00,4.049525,304.7482,D,0,55.58,13.01,0001
2024-01-10 17:00:00,4.0608144,305.27628,D,0,55.58,13.01,0001
2024-01-10 18:00:00,4.137656,311.50598,D,0,55.58,13.01,0001
2024-01-10 19:00:00,4.0450773,313.7318,D,0,55.58,13.01,0001
2024-01-10 20:00:00,3.9547915,310.18384,D,0,55.58,13.01,0001
2024-01-10 21:00:00,3.885808,305.1992,E,0,55.58,13.01,0001
2024-01-10 22:00:00,4.2786093,305.28973,D,0,55.58,13.01,0001
2024-01-10 23:00:00,4.5951014,303.50778,D,0,55.58,13.01,0001
2024-01-11 00:00:00,5.0421295,299.2169,D,0,55.58,13.01,0001
2024-01-11 01:00:00,5.208805,305.67084,D,0,55.58,13.01,0001
2024-01-11 02:00:00,5.048837,305.67548,D,0,55.58,13.01,0001
2024-01-11 03:00:00,5.0879164,305.1593,D,0,55.58,13.01,0001
2024-01-11 04:00:00,5.294886,310.68536,D,0,55.58,13.01,0001
2024-01-11 05:00:00,5.0560308,314.44696,D,0,55.58,13.01,0001
2024-01-11 06:00:00,4.894542,315.86737,D,0,55.58,13.01,0001
2024-01-11 07:00:00,4.785506,318.90042,D,0,55.58,13.01,0001
2024-01-11 08:00:00,4.6988335,323.65073,D,0,55.58,13.01,0001
2024-01-11 09:00:00,4.7973185,329.94803,D,0,55.58,13.01,0001
2024-01-11 10:00:00,5.1598663,338.4088,D,0,55.58,13.01,0001
2024-01-11 11:00:00,4.9559593,338.14407,D,0,55.58,13.01,0001
2024-01-11 12:00:00,4.9446836,338.62152,D,0,55.58,13.01,0001
2024-01-11 13:00:00,4.896826,342.86533,D,0,55.58,13.01,0001
2024-01-11 14:00:00,4.539056,344.0611,D,0,55.58,13.01,0001
2024-01-11 15:00:00,4.2490573,349.36456,D,0,55.58,13.01,0001
2024-01-11 16:00:00,3.8136654,356.48703,E,0,55.58,13.01,0001
2024-01-11 17:00:00,3.3298252,2.8848267,E,0,55.58,13.01,0001
2024-01-11 18:00:00,2.828869,14.290222,F,0,55.58,13.01,0001
2024-01-11 19:00:00,2.2967052,21.1503,F,0,55.58,13.01,0001
2024-01-11 20:00:00,1.9339769,18.43695,F,0,55.58,13.01,0001
2024-01-11 21:00:00,1.4917083,3.138092,F,0,55.58,13.01,0001
2024-01-11 22:00:00,1.3395193,3.6240234,F,0,55.58,13.01,0001
2024-01-11 23:00:00,1.0062249,22.18341,F,0,55.58,13.01,0001
2024-01-12 00:00:00,0.33153835,326.2888,F,0,55.58,13.01,0001
2024-01-12 01:00:00,1.0676444,246.1479,F,0,55.58,13.01,0001
2024-01-12 02:00:00,1.7099158,235.81757,F,0,55.58,13.01,0001
2024-01-12 03:00:00,2.8585773,249.30772,E,0,55.58,13.01,0001
2024-01-12 04:00:00,3.2330763,260.53214,D,0,55.58,13.01,0001
2024-01-12 05:00:00,3.3074467,264.21588,D,0,55.58,13.01,0001
2024-01-12 06:00:00,3.4614515,273.37738,D,0,55.58,13.01,0001
2024-01-12 07:00:00,3.4845512,281.03436,D,0,55.58,13.01,0001
2024-01-12 08:00:00,3.4673874,284.81387,C,0,55.58,13.01,0001
2024-01-12 09:00:00,3.4954453,289.4753,C,0,55.58,13.01,0001
2024-01-12 10:00:00,3.8686857,279.16226,C,0,55.58,13.01,0001
2024-01-12 11:00:00,4.071479,281.47543,D,0,55.58,13.01,0001
2024-01-12 12:00:00,4.41381,291.50137,D,0,55.58,13.01,0001
2024-01-12 13:00:00,4.287171,293.1206,D,0,55.58,13.01,0001
2024-01-12 14:00:00,4.0573053,294.53558,D,0,55.58,13.01,0001
2024-01-12 15:00:00,3.1054435,291.77774,D,0,55.58,13.01,0001
2024-01-12 16:00:00,3.332343,298.94354,D,0,55.58,13.01,0001
2024-01-12 17:00:00,3.2708733,305.32532,D,0,55.58,13.01,0001
2024-01-12 18:00:00,3.250094,299.77213,D,0,55.58,13.01,0001
2024-01-12 19:00:00,3.3635213,294.03784,D,0,55.58,13.01,0001
2024-01-12 20:00:00,3.119339,289.2882,D,0,55.58,13.01,0001
2024-01-12 21:00:00,2.58336,279.79297,E,0,55.58,13.01,0001
2024-01-12 22:00:00,2.4000266,275.7876,E,0,55.58,13.01,0001
2024-01-12 23:00:00,2.6954646,256.0578,E,0,55.58,13.01,0001
2024-01-13 00:00:00,3.0124996,253.84238,D,0,55.58,13.01,0001
2024-01-13 01:00:00,3.0225513,245.00133,D,0,55.58,13.01,0001
2024-01-13 02:00:00,3.2764077,243.10915,D,0,55.58,13.01,0001
2024-01-13 03:00:00,3.6345541,247.29584,D,0,55.58,13.01,0001
2024-01-13 04:00:00,4.6713476,252.53058,D,0,55.58,13.01,0001
2024-01-13 05:00:00,5.6294513,260.8803,D,0,55.58,13.01,0001
2024-01-13 06:00:00,6.167935,262.37482,D,0,55.58,13.01,0001
2024-01-13 07:00:00,6.595282,258.94135,D,0,55.58,13.01,0001
2024-01-13 08:00:00,7.050315,255.00615,D,0,55.58,13.01,0001
2024-01-13 09:00:00,7.4578056,251.1442,D,0,55.58,13.01,0001
2024-01-13 10:00:00,6.844219,245.26456,D,0,55.58,13.01,0001
2024-01-13 11:00:00,7.657398,247.95236,D,0,55.58,13.01,0001
